name,expireIn
apple juice canned,540
apples  applesauce canned,720
apricots canned,720
baby cereal del monte oatmeal based,30
baby cereal del monte rice based,60
bacon bits imitation,120
bacon oscar meyer louis rich,60
bagels frozen,60
bakers calumet certoeverfresh kraft,60
bakery mix biscuit type,360
baking powder,180
bbq sauce,360
beans canned,1825
beans dried,360
beanscanned all type,1080
beansdry all type,360
beansvegetarian canned,720
beef canned,1080
biscuit or pancake mix,450
blackberries/blueberries frozen,540
bread mix,540
breakfast drink shelf stable dairy product,180
burritos frozen,60
butter,90
butter  margarine fleischmann's blue bonnet  parkay,30
butter  margarine flavored spread,60
cakes  brownie mix,540
cappucino kraft,60
capri sun kraft,18
carmel corn w/ nut,90
carrots canned,1825
carrots canned,900
catsup,540
cereal  all type,360
cereal 2 lb or greater plastic bags kellogg,450
cereal familysized kellogg,90
cereal small boxes 2.0 oz or less kellogg,360
cereal cook before eating,360
cereal readytoeat,360
cereals post brand,60
cheese american cheddar mozzarella,360
cheese hard,180
cheese natural  processed,45
cheese cottage,7
cheese grated kraft,60
cheese sauces #10 cans  9 oz can,360
cheese sliced  pollio,30
cheese whiz kraft,60
cheesecake krafto,60
cherries frozen,720
chili sauce,360
chocolate syrup,720
citrus products guava kiwistrawberry ocean spray,30
cocktail sauce,360
coffee ground in can,720
coffee instant,360
coffee creamer liquid/nondairy,270
coffee kraft brands see remark,180
cooked fish frozen,180
cookies,240
cookies bakery type,60
cookies keebler,120
cooking oil,180
cooking oil spray,730
corn canned,1825
corn cream,1080
corn flake crumbs  croutettes kellogg,810
cornmeal,360
cornmeal,360
cornstarch,540
cornwhole kernel canned,1080
country time kraft,18
cracker jack,90
cracker,240
crackers handi snack snack box,60
crackers keebler,120
craisin,120
cranberry and other sauces ocean spray,90
crayfish frozen,180
cream cheese natural cheese chunks/bars churney cheese kraft,30
cream of wheat cream of rice kraft,60
dates frozen,360
dijonnaise hellmann',360
dream whip kraft,60
dressings taste of life seven seas good seasons kraft,60
dry packaged desserts jello no bake kraft,60
dry soups/bullion/dips knorr only,360
duck whole frozen,180
egg mix dried,450
egg substitues frozen,360
eggo waffles  pancake,450
figsdried,540
flour  all type,360
flour wheat,30
flour white,360
frosting canned,300
frosting mix,360
frozen toppings kraft,60
fruit snack,180
fruits  canned,540
fruits dried,180
fruitsberries melons frozen,180
garlic chopped jar,540
gatorade,270
gelatin flavored,540
gelatin unflavored,1095
grape juices canned,360
grapefruit juice canned,720
gravy dry mix,730
green beans canned,720
gritscorn,360
guacamole,120
gummy bear,180
hamcanned refrigerated,270
herbs dried,730
horseradish  chutney sauce,360
hot chocolate cappucino kraft,60
hot dogs oscar meyer louis rich,60
ice cream,120
ice cream cones keebler,120
ice cream cones keebler,120
jello ready to eat,30
jelly  jam,360
juices  canned,540
juicy juice can,360
juicy juice little box,90
juicyjuice bottle,180
ketchup,540
kraft meals lunchbreak,60
lemon juice frozen concentrate,540
lentils dried,360
liquid marinade and stir fry lawry,365
lobster tail,90
lunchables oscar mayer,60
luncheon meat canned,1080
mm and mar,28
mac n' cheese  liquid dinners kraft dinner,60
macaroni/spaghettus,1080
margarine,150
marshmallow,120
mayo miracle whip sauceworks kraft,60
mayonnaise,90
mayonnaise hellmann',90
meats sandwich  deli type oscar meyer louis rich,60
milk canned evaporated,360
minute rice kraft,60
minute rice kraft,60
molass,360
mushrooms dried,180
mustard,360
nuts jars or can,360
oats rolled,360
olive oil bertelli,60
olives black  green,540
orange juice canned,720
oysters frozen,180
pancakes/waffles frozen,60
pasta  sauce digiorno,60
pasta canned,1825
pasta dry packaged,730
pasta salads kraft,60
pasta sauce bertelli ,60
peaches canned,720
peanut butter,540
peanut butter skippy in plastic container,540
peanut butter stix skippy,540
peanuts shelled,720
pears canned,540
peas canned,1080
peas canned,1825
peasblackeyed canned,1080
peascanned  split dry,360
phillie snack bar,30
pickles claussen,30
pickles sauerbraut canned,540
pie crust keebler,120
pie crusts  cones keebler,120
pineapple canned,720
pineapple juice canned,720
pizza tombstone digiorno jack's  california kitchen,30
plums canned,540
popcorn dry in jar,730
popcorn microwave,360
pork canned,1080
potato chip,60
potatoes canned,1825
potatoes dehydrated can,360
potatoes dehydrated package,180
potatoes instant,360
prunes dried,270
pudding kraft,60
pudding mix,360
pudding/gelatin handi snack desserts kraft,60
raisin,270
refried beans kraft,120
refrigerated drinks assorted glass ocean spray,90
refrigerated drinks citrus plastic bottles ocean spray,30
refrigerated juices tropicana,7
refrigerated noncitrus drinks assorted plastic  can ocean spray,60
rice brown,365
rice flavored or herb,180
rice white or wild,730
rotisserie chicken frozen,120
salad dressings bottled,360
salad dressings bottled wishbone,360
salmon pink canned,1080
salsa,720
salsa picante taco sauce,360
sauces bull's eye bbq kraft,60
sauces cream with milk,365
sauces hellmann',360
seasonings dry adolph',730
seasonings liquid adolph',365
shortening,240
shrimp,360
side dishes/deli salads country crock,60
snack bars skippy,180
soda carbonated canned,270
soup  asepticpack knorr,360
soup mix,360
soups canned,1825
soups del monte private label soup,360
soups and liquid broths knorr only,1825
soups dry mix,360
soy milk,360
spaghetti sauce mix,730
spices red pepper chili powder,730
spinach canned,1825
spreads refrigerated promise,60
sqeezeit skippy,540
steaks  roast,360
stove top classic,60
stove top stuffing,60
sugar substitute,730
sugar brown,120
sugar granulated,730
sweet potatoes canned,720
syrup maple,360
